Id,Title,Description
AATP_ClearText,Stop clear text credentials exposure,"Entities exposing credentials in clear text increase risk as unsecure traffic, such as LDAP simple-bind, is highly susceptible to interception. Attackers can then engage in malicious activities like stealing credentials. Through a security assessment, Microsoft Defender for Identity detects credentials being exposed in clear text through network traffic and event monitoring."
AATP_DormantAccounts,Remove dormant accounts from sensitive groups,An easy and quiet path deep into your organization is through inactive accounts that are a part of sensitive groups. Removing dormant account access rights or deleting the account will help protect your organization's sensitive data and prevent further compromise. Accounts become dormant if they are not used for a period of 180 days.
AATP_HoneyToken,Set a honeytoken account,Setting honeytoken accounts helps to trap malicious actors.  Any authentication attempt associated with these accounts (normally dormant) will trigger a Defender for Identity security alert and will improve your chances to detect advanced threats.
AATP_KerberosDelegations,Modify unsecure Kerberos delegations to prevent impersonation,"Kerberos delegation is a setting that allows applications to request end-user access credentials to access resources on behalf of the originating user. An unsecure Kerberos delegation provides an entity with the ability to impersonate you to any other chosen service. with this security assessment, Microsoft Defender for Identity detects which of your non-domain controller entities are configured for unsecure Kerberos delegation."
AATP_LegacyProtocols,Stop legacy protocols communication,"Legacy protocols, such as NTLMv1, are susceptible to abuse and reduce the overall security posture of the organization. Through a security assessment, Microsoft Defender for Identity detects network activities that are using legacy protocols either as a misconfiguration or as a deliberate security downgrade."
AATP_PathRisk,Reduce lateral movement path risk to sensitive entities,"Lateral movement paths are ways in which an attacker can gain access to, often highly sensitive, account credentials by compromising non-sensitive accounts. Discovering and reducing lateral movement paths by removing unnecessary permissions and group memberships, improves your overall environment security posture, and reduces the potential risk of compromised sensitive entities."
AATP_PrintSpooler,Disable Print spooler service on domain controllers,"Print spooler is a software service that manages printing processes. While seemingly harmless, any authenticated user can test the connection and expose the domain controller computer account credential. Disabling the &quot;Print Spooler&quot; service on your domain controllers reduces the attack surface available for attackers to gain sensitive credentials needed for lateral movement."
AATP_PwdLAPS,Protect and manage local admin passwords with Microsoft LAPS,"Local Administrator Password Solution (LAPS) provides management of local account passwords for domain joined computers. LAPS passwords are stored in your Active Directory (AD) and are protected by ACL, so only eligible users can read&nbsp;or request a reset. Microsoft recommends installing LAPS in your environment."
AATP_Sensor,Install Defender for Identity Sensor on all Domain Controllers,Installing Microsoft Defender for Identity sensors on all your domain controllers provides you with the ability to detect advanced threats in your entire Active Directory environment. Actionable security alerts are generated through the analysis of network traffic and security events.
AATP_SIDHistory,Remove unsecure SID history attributes from entities,"SID History is an attribute that supports migration scenarios. Every user account has an associated Security Identifier (SID) that is used to track its security principal and the access the account has when connecting to resources. SID History can also be used to grant elevated user privileges (such as Domain admin) and is considered unsecure, and should therefore be removed."
AATP_UnsecureAccount,Resolve unsecure account attributes,"Every account in Active Directory has multiple attributes representing its security configurations. When misconfigured, these attributes can make these account more susceptible to cyber attacks.  Setting these attributes in accordance to security best practices can greatly increase the security posture of your accounts."
AATP_UnsecureDomain,Resolve unsecure domain configurations,Active directory domains hold many security-related configurations.  When misconfigured these attributes can make organizations more susceptible to cyber-attacks.  Setting these configurations in accordance with security best practices can decrease the likelihood of identity compromise.
AATP_Vpn,Configure VPN integration,"Simplify your attack investigation process with the inclusion of Microsoft Defender for Identity user account information, especially when paired with additional information provided by Defender for Identity about user activities and the latest alerts about abnormal VPN connections. The Microsoft Defender for Identity VPN integration cloud solutions collect account information from your VPN solutions and populate user profile pages with your user's VPN connections, such as IP addresses and locations where connections originated."
AATP_WeakCipher,Stop weak cipher usage,"Weak ciphers need to be disabled because they are susceptible to cracking and reduce the overall security posture of the organization. With this security assessment, Microsoft Defender for Identity detects network activities that are using weak ciphers as a misconfiguration or as a deliberate security downgrade."
