Id,Title,Description
1,Recommendations to protect against RaaS,"Microsoft recommends the following mitigations to reduce the impact of RaaS threats.

* Turn on [cloud-delivered protection](https://learn.microsoft.com/microsoft-365/security/defender-endpoint/configure-block-at-first-sight-microsoft-defender-antivirus?ocid=magicti_ta_learndoc) in Microsoft Defender Antivirus or the equivalent for your antivirus product to cover rapidly evolving attacker tools and techniques. Cloud-based machine learning protections block a huge majority of new and unknown variants.
* Turn on [tamper protection](https://learn.microsoft.com/microsoft-365/security/defender-endpoint/prevent-changes-to-security-settings-with-tamper-protection?ocid=magicti_ta_learndoc) features to prevent attackers from stopping security services.
* Run [endpoint detection and response (EDR) in block mode](https://learn.microsoft.com/microsoft-365/security/defender-endpoint/edr-in-block-mode?ocid=magicti_ta_learndoc), so that Defender for Endpoint can block malicious artifacts, even when your non-Microsoft antivirus doesn't detect the threat or when Microsoft Defender Antivirus is running in passive mode. EDR in block mode works behind the scenes to remediate malicious artifacts detected post-breach.
* Enable [investigation and remediation](https://learn.microsoft.com/microsoft-365/security/defender-endpoint/automated-investigations?ocid=magicti_ta_learndoc) in full automated mode to allow Defender for Endpoint to take immediate action on alerts to resolve breaches, significantly reducing alert volume.
* Microsoft Defender customers can turn on [attack surface reduction rules](https://learn.microsoft.com/microsoft-365/security/defender-endpoint/attack-surface-reduction?ocid=magicti_ta_learndoc) to prevent common attack techniques used in ransomware attacks. Attack surface reduction rules are sweeping settings that are effective at stopping entire classes of threats.
* Ransom and lateral movement stage:
  + [Block process creations originating from PsExec and WMI commands](https://learn.microsoft.com/microsoft-365/security/defender-endpoint/attack-surface-reduction-rules-reference?ocid=magicti_ta_learndoc#block-process-creations-originating-from-psexec-and-wmi-commands). Some organizations may experience compatibility issues with this rule on certain server systems but should deploy it to other systems to prevent lateral movement originating from PsExec and WMI.
  + [Block executable files from running unless they meet a prevalence, age, or trusted list criterion](https://learn.microsoft.com/microsoft-365/security/defender-endpoint/attack-surface-reduction-rules-reference?ocid=magicti_ta_learndoc#block-executable-files-from-running-unless-they-meet-a-prevalence-age-or-trusted-list-criterion)
  + [Use advanced protection against ransomware](https://learn.microsoft.com/microsoft-365/security/defender-endpoint/attack-surface-reduction-rules-reference?ocid=magicti_ta_learndoc#use-advanced-protection-against-ransomware)"
2,Recommendations to identify and mitigate cryptojacking attacks,"While every situation is unique to the customer and their environment, the following recommendations are broadly applicable to help identify and mitigate cryptojacking attacks:

* Separate privileged roles: Admin and user accounts should be distinct. Use [Privileged Identity Management](https://learn.microsoft.com/azure/active-directory/privileged-identity-management/pim-configure) or separate accounts for privileged tasks, limiting accounts with excessive permissions. Apply Multi-Factor Authentication (MFA) and [Conditional Access](https://learn.microsoft.com/azure/active-directory/conditional-access/overview), especially for accounts with elevated roles.
* Implement MFA: Ensure comprehensive use of [MFA](https://learn.microsoft.com/azure/active-directory/authentication/tutorial-enable-azure-mfa), particularly for accounts with virtual machine contributor privileges. Discourage password reuse. A full list of cloud security recommendations can be found in [Security recommendations a reference guide](https://learn.microsoft.com/azure/defender-for-cloud/recommendations-reference?ocid=magicti_ta_learndoc).
* Use risk-based sign-in behaviors and conditional access policies: Monitor high Azure Active Directory risk scores and correlate risky behavior with subsequent activity. Implement conditional access policies for multifactor reauthentication, device compliance, password updates, or blocking authentication.
* Detect login anomalies: Employ standard anomaly detection methods for identifying unusual login patterns, such as proxy usage, anomalous locations, and user agents. Utilize Microsoft 365 Defender for detecting suspicious activities performed by risky users.
* Monitor external Azure IP addresses: Authentication from non-tenant IP addresses should be considered anomalous. Use the [*az vm list-ip-addresses*](https://learn.microsoft.com/cli/azure/vm?view=azure-cli-latest#az-vm-list-ip-addresses) command to identify allocated IP addresses within the tenant.
* Monitor quota increases: Watch for unexpected quota increases, especially across multiple regions or for rarely used resources, as they may indicate resource abuse attacks. Quota increase detections can be refined by focusing on commonly abused core types."
3,Recommendations to protect against Information Stealers,"Microsoft recommends the following mitigations to reduce the impact of [Information Stealer](https://security.microsoft.com/intel-profiles/2296d491ea381b532b24f2575f9418d4b6723c17b8a1f507d20c2140a75d16d6) threats.

* Check your Office 365 email filtering settings to ensure you block spoofed emails, spam, and emails with malware. Use [Microsoft Defender for Office 365](https://learn.microsoft.com/microsoft-365/security/office-365-security/defender-for-office-365?ocid=magicti_ta_learndoc) for enhanced phishing protection and coverage against new threats and polymorphic variants. Configure Microsoft Defender for Office 365 to [recheck links on click](https://learn.microsoft.com/microsoft-365/security/office-365-security/safe-links-about?ocid=magicti_ta_learndoc) and [delete sent mail](https://learn.microsoft.com/microsoft-365/security/office-365-security/zero-hour-auto-purge?ocid=magicti_ta_learndoc) in response to newly acquired threat intelligence. Turn on [safe attachments policies](https://learn.microsoft.com/microsoft-365/security/office-365-security/safe-attachments-policies-configure?ocid=magicti_ta_learndoc) to check attachments to inbound email.
* Encourage users to use Microsoft Edge and other web browsers that support [SmartScreen](https://learn.microsoft.com/microsoft-365/security/defender-endpoint/web-protection-overview?ocid=magicti_ta_learndoc), which identifies and blocks malicious websites, including phishing sites, scam sites, and sites that host malware.
* Turn on [cloud-delivered protection](https://learn.microsoft.com/microsoft-365/security/defender-endpoint/configure-block-at-first-sight-microsoft-defender-antivirus?ocid=magicti_ta_learndoc) in Microsoft Defender Antivirus, or the equivalent for your antivirus product, to cover rapidly evolving attacker tools and techniques. Cloud-based machine learning protections block a majority of new and unknown variants.
* Enforce MFA on all accounts, remove users excluded from MFA, and strictly [require MFA](https://learn.microsoft.com/azure/active-directory/identity-protection/howto-identity-protection-configure-mfa-policy?ocid=magicti_ta_learndoc) from all devices, in all locations, at all times.
* Enable passwordless authentication methods (for example, Windows Hello, FIDO keys, or Microsoft Authenticator) for accounts that support passwordless. For accounts that still require passwords, use authenticator apps like Microsoft Authenticator for MFA. Learn [what authentication and verification methods are available in Microsoft Entra ID.](https://learn.microsoft.com/en-us/entra/identity/authentication/concept-authentication-methods)
* For MFA that uses authenticator apps, ensure that the app requires a code to be typed in where possible, as many intrusions where MFA was enabled still succeeded due to users clicking 'Yes' on the prompt on their phones even when they were not at their [devices](https://learn.microsoft.com/azure/active-directory/authentication/how-to-mfa-number-match?ocid=magicti_ta_learndoc).
* For information on password management for Microsoft Edge read [&#34;Microsoft Edge password manager security.&#34;](https://learn.microsoft.com/en-us/deployedge/microsoft-edge-security-password-manager-security)

Microsoft Defender customers can [turn on attack surface reduction rules](https://learn.microsoft.com/microsoft-365/security/defender-endpoint/attack-surface-reduction?ocid=magicti_ta_learndoc) to prevent common attack techniques used in infostealer infections. Attack surface reduction rules are sweeping settings that stop entire classes of threats including, infostealers, credential theft, and ransomware. The following bullet points offer more guidance on specific mitigation advice:

* [Turn on PUA protection in block mode](https://learn.microsoft.com/microsoft-365/security/defender-endpoint/detect-block-potentially-unwanted-apps-microsoft-defender-antivirus?ocid=magicti_ta_learndoc)
* [Block executable files from running unless they meet a prevalence, age, or trusted list criterion](https://learn.microsoft.com/microsoft-365/security/defender-endpoint/attack-surface-reduction-rules-reference?ocid=magicti_ta_learndoc#block-executable-files-from-running-unless-they-meet-a-prevalence-age-or-trusted-list-criterion)
* [Block execution of potentially obfuscated scripts](https://learn.microsoft.com/microsoft-365/security/defender-endpoint/attack-surface-reduction-rules-reference?ocid=magicti_ta_learndoc#block-execution-of-potentially-obfuscated-scripts)"
4,Recommendations to protect against Malvertising,"Apply these mitigations to reduce the impact of this threat. Check the recommendations card for the deployment status of monitored mitigations.

* Encourage users to use Microsoft Edge and other web browsers that support SmartScreen, which identifies and blocks malicious websites, including phishing sites, scam sites, and sites that contain exploits and host malware. [Turn on network protection](https://learn.microsoft.com/en-us/microsoft-365/security/defender-endpoint/enable-network-protection?ocid=magicti%3Cem%3Eta%3C/em%3Elearndoc) to block connections to malicious domains and IP addresses.
* Build organizational resilience against email threats by educating users about identifying social engineering attacks and preventing malware infection. Use [Attack simulation training](https://learn.microsoft.com/microsoft-365/security/office-365-security/attack-simulation-training-get-started?ocid=magicti%3Cem%3Eta%3C/em%3Elearndoc) in Microsoft Defender for Office 365 to run attack scenarios, increase user awareness, and empower employees to recognize and report these attacks.
* Practice the principle of least-privilege and maintain credential hygiene. Avoid the use of domain-wide, admin-level service accounts. Restricting local administrative privileges can help limit installation of RATs and other unwanted applications.
* Turn on [cloud-delivered protection](https://learn.microsoft.com/microsoft-365/security/defender-endpoint/enable-cloud-protection-microsoft-defender-antivirus?ocid=magicti%3Cem%3Eta%3C/em%3Elearndoc) and automatic sample submission on Microsoft Defender Antivirus. These capabilities use artificial intelligence and machine learning to quickly identify and stop new and unknown threats.
* Turn on [tamper protection features](https://learn.microsoft.com/microsoft-365/security/defender-endpoint/prevent-changes-to-security-settings-with-tamper-protection?ocid=magicti%3Cem%3Eta%3C/em%3Elearndoc) to prevent attackers from stopping security services.

Microsoft Defender customers can turn on [attack surface reduction rules](https://learn.microsoft.com/microsoft-365/security/defender-endpoint/attack-surface-reduction?ocid=magicti%3Cem%3Eta%3C/em%3Elearndoc) to prevent common attack techniques used in ransomware attacks.

Ransom and lateral movement stage:

* [Block process creations originating from PsExec and WMI commands](https://learn.microsoft.com/microsoft-365/security/defender-endpoint/attack-surface-reduction-rules-reference?ocid=magicti%3Cem%3Eta%3C/em%3Elearndoc#block-process-creations-originating-from-psexec-and-wmi-commands)
* [Block executable files from running unless they meet a prevalence, age, or trusted list criterion](https://learn.microsoft.com/microsoft-365/security/defender-endpoint/attack-surface-reduction-rules-reference?ocid=magicti%3Cem%3Eta%3C/em%3Elearndoc#block-executable-files-from-running-unless-they-meet-a-prevalence-age-or-trusted-list-criterion)
* [Use advanced protection against ransomware](https://learn.microsoft.com/microsoft-365/security/defender-endpoint/attack-surface-reduction-rules-reference?ocid=magicti%3Cem%3Eta%3C/em%3Elearndoc#use-advanced-protection-against-ransomware)"
5,Recommendations to protect against phishing attacks,"Implement multifactor authentication (MFA) to mitigate credential theft from phishing attacks. MFA can be complemented with the following solutions and best practices to protect organizations:

* Activate conditional access policies. [Conditional access](https://learn.microsoft.com/azure/active-directory/conditional-access/overview?ocid=magicti_ta_learndoc) policies are evaluated and enforced every time an attacker attempts to use a stolen session cookie. Conditional access policies evaluate sign-in requests using additional identity-driven signals like user or group membership, IP location information, and device status, among others, and are enforced for suspicious sign-ins. Organizations can protect themselves from attacks that leverage stolen credentials by enabling policies such as compliant devices or trusted IP address requirements.
* Configure [continuous access evaluation](https://learn.microsoft.com/azure/active-directory/conditional-access/concept-continuous-access-evaluation?ocid=magicti_ta_learndoc) in your tenant.
* Invest in advanced anti-phishing solutions that monitor incoming emails and visited websites. [Microsoft Defender for Office](https://learn.microsoft.com/microsoft-365/security/defender/microsoft-365-security-center-mdo?ocid=magicti_ta_learndoc) 365 brings together incident and alert management across email, devices, and identities, centralizing investigations for threats in email. Organizations can also leverage web browsers that automatically [identify and block malicious websites](https://learn.microsoft.com/deployedge/microsoft-edge-security-smartscreen?ocid=magicti_ta_learndoc). To build resilience against phishing attacks in general, organizations can use [anti-phishing policies](https://docs.microsoft.com/microsoft-365/security/office-365-security/set-up-anti-phishing-policies?view=o365-worldwide) to enable mailbox intelligence settings, as well as configure impersonation protection settings for specific messages and sender domains. Enabling [SafeLinks](https://docs.microsoft.com/microsoft-365/security/office-365-security/safe-links?view=o365-worldwide) ensures real-time protection by scanning at time of delivery and at time of click.
* Continuously monitor for suspicious or anomalous activities, and search for sign-in attempts with suspicious characteristics (for example location, internet service provider [ISP], user agent, and use of anonymizer services). Activity can be identified and investigated with [Microsoft Defender for Identity](https://learn.microsoft.com/microsoft-365/security/defender/microsoft-365-security-center-mdi?ocid=magicti_ta_learndoc), which contributes identity-focused information into incidents and alerts, providing key context and correlating alerts from other products within Microsoft 365 Defender. This ensures all alerts are available in one place, and the scope of a breach can be determined faster than before.

Defenders can also complement MFA with the following solutions and best practices to further protect their organizations from such attacks.

* Use [security defaults](https://learn.microsoft.com/azure/active-directory/fundamentals/concept-fundamentals-security-defaults?ocid=magicti_ta_learndoc) as a baseline set of policies to improve identity security posture.
* Block phishing websites and other malicious URLs and domains in the browser through [Microsoft Defender SmartScreen](https://learn.microsoft.com/en-us/windows/security/operating-system-security/virus-and-threat-protection/microsoft-defender-smartscreen/), as well as the detection of suspicious and malicious behavior on endpoints."
6,Recommendations to protect against Mobile Malware,"* Only install apps from trusted sources and official stores, like the Google Play Store and Apple App Store.
* Never click on unknown links received through ads, SMS messages, emails, or similar untrusted sources.
* Use mobile solutions such as [Microsoft Defender for Endpoint on Android](https://learn.microsoft.com/microsoft-365/security/defender-endpoint/microsoft-defender-endpoint-android?view=o365-worldwide) to detect malicious applications
* Always keep *Install unknown apps* disabled on the Android device to prevent apps from being installed from unknown sources.
* Avoid granting SMS permissions, notification listener access, or accessibility access to any applications without a strong understanding of why the application needs it. These are powerful permissions that are not commonly needed.
* If a device is no longer receiving updates, strongly consider replacing it with a new device."
7,Recommendations to protect against CVE-2024-3400 - command injection vulnerability,"[CVE-2024-3400](https://nvd.nist.gov/vuln/detail/CVE-2024-3400) is a vulnerability in Palo Alto Networks firewalls  GlobalProtect Gateway feature. The vulnerability incorporates command injection and directory traversal. An unauthenticated threat actor that successfully exploits CVE-2024-3400 could launch arbitrary code on the vulnerable firewall with root privileges.

* [Palo Alto Networks fixed this vulnerability](https://security.paloaltonetworks.com/CVE-2024-3400) in PAN-OS 10.2.9-h1, PAN-OS 11.0.4-h1, PAN-OS 11.1.2-h3, and in all later PAN-OS versions. Affected organizations should update their Palo Alto Networks firewalls immediately.
* Palo Alto Networks previously recommended disabling device telemetry as a temporary mitigation for CVE-2024-3400. However, as illustrated above, this does not adequately mitigate the impact of exploiting the vulnerability. On April 26, 2024, Palo Alto Networks withdrew this guidance.
* Because the PoC code became available on April 16, 2024, affected organizations should assume that any vulnerable firewall that is exposed to the public internet after that date has been compromised. Affected organizations must isolate and restore compromised firewalls in accordance with their incident response practices."
8,[Tips for preventing keylogging](https://www.microsoft.com/en-us/microsoft-365-life-hacks/privacy-and-safety/what-is-a-keylogger),"Maintaining good [cyber hygiene](https://www.microsoft.com/en-us/microsoft-365-life-hacks/privacy-and-safety/cyber-hygiene) and following online safety best practices can help you stay safe from keylogging. While no solution is entirely foolproof, taking these steps can help reduce your risk of malware and prevent keylogging threats.

* Two-Factor Authentication
  [Two-factor or multi-factor authentication](https://www.microsoft.com/en-us/microsoft-365-life-hacks/privacy-and-safety/importance-of-two-factor-authentication) provides an effective defense against keylogging viruses and malware. Two-factor identification adds an additional step when logging into an account or device, requiring a temporary PIN or fingerprint to verify that you own the account you're logging into. If your passwords are identified via keylogging, two-factor authentication will keep cybercriminals from accessing your accounts remotely.
* Only Download Safe Files
  Avoid downloading files from unsafe websites or clicking links in an email from an unknown sender. Phishing has become more sophisticated, so you should be cautious of clicking links or downloading attachments from people you know, as their email or other accounts may have been hacked.
* Install Antivirus Software
  Many antivirus software options now include anti-keylogger and anti-spyware protection. This software can help you identify and avoid keylogging malware. Installing and keeping antivirus software up to date helps prevents data theft.
* For information on password management for Microsoft Edge read [&#34;Microsoft Edge password manager security.&#34;](https://learn.microsoft.com/en-us/deployedge/microsoft-edge-security-password-manager-security)

Although keylogger malware relies on stealth, it may show warning signs like slower computer performance or unusually low storage space. Understanding how keylogging works can help you detect and remove keylogging malware."
9,Guidance for CobaltStrike,"**Guidance for end users**

* For more tips on how to keep your device safe, go to the [Microsoft security help &amp; learning portal](https://support.microsoft.com/security).
* To learn more about preventing trojans or other malware from affecting individual devices, [read about preventing malware infection](https://www.microsoft.com/security/business/security-101/what-is-malware).

**Guidance for enterprise administrators and Microsoft 365 Defender customers**

Apply these mitigations to reduce the impact of this threat. Check the recommendations card for the deployment status of monitored mitigations.

* Turn on [cloud-delivered protection](https://learn.microsoft.com/microsoft-365/security/defender-endpoint/configure-block-at-first-sight-microsoft-defender-antivirus) in Microsoft Defender Antivirus or the equivalent for your antivirus product to cover rapidly evolving attacker tools and techniques. Cloud-based machine learning protections block a huge majority of new and unknown variants.
* Turn on [tamper protection](https://learn.microsoft.com/microsoft-365/security/defender-endpoint/prevent-changes-to-security-settings-with-tamper-protection) features to prevent attackers from stopping security services.
* Run [endpoint detection and response (EDR) in block mode](https://learn.microsoft.com/microsoft-365/security/defender-endpoint/edr-in-block-mode) so that Microsoft Defender for Endpoint can block malicious artifacts, even when your non-Microsoft antivirus doesn t detect the threat or when Microsoft Defender Antivirus is running in passive mode. EDR in block mode works behind the scenes to remediate malicious artifacts that are detected post-breach.
* Enable [investigation and remediation](https://learn.microsoft.com/microsoft-365/security/defender-endpoint/automated-investigations) in full automated mode to allow Microsoft Defender for Endpoint to take immediate action on alerts to resolve breaches, significantly reducing alert volume.
* Use [device discovery](https://learn.microsoft.com/microsoft-365/security/defender-endpoint/device-discovery) to increase your visibility into your network by finding unmanaged devices on your network and onboarding them to Microsoft Defender for Endpoint."
10,Guidance for Botnets,"Microsoft recommends the following mitigations to reduce the impact of botnets.

* [Restrict automatic prompts](https://support.microsoft.com/en-us/windows/automatic-file-download-notifications-in-windows-dc73c9c9-1b4c-a8b7-8d8b-b471736bb5a0) for non-user-initiated file downloads.
* [Enable Safe Links](https://learn.microsoft.com/en-us/powershell/module/exchange/enable-safelinksrule?view=exchange-ps) protection for links in email messages.
* [Enable Safe Attachments](https://learn.microsoft.com/en-us/powershell/module/exchange/set-safeattachmentrule?view=exchange-ps) in block mode.
* Enable [Zero-hour auto purge (ZAP)](https://learn.microsoft.com/en-us/defender-office-365/zero-hour-auto-purge) in Office 365 to quarantine sent mail in response to newly-acquired threat intelligence and retroactively neutralize malicious phishing, spam, or malware messages that have already been delivered to mailboxes.
* Run endpoint detection and response [(EDR) in block mode](https://learn.microsoft.com/en-us/defender-endpoint/edr-in-block-mode) so that Microsoft Defender for Endpoint can block malicious artifacts, even when your non-Microsoft antivirus does not detect the threat or when Microsoft Defender Antivirus is running in passive mode."
